,ml-dft,datasets
2023-06-12,36.0,35.0
2023-08-31,76.0,98.0
2023-11-30,75.0,93.0
2024-01-04,110.0,182.0
2024-03-17,123.0,186.0
2024-06-06,123.0,189.0
2024-08-08,119.0,210.0
2024-09-05,165.0,296.0
2024-11-14,170.0,301.0
2025-02-27,174.0,317.0
2025-04-05,204.0,384.0
2025-04-09,246.0,420.0
