name,homepage,projectrank,category,labels
PyG Models,https://github.com/pyg-team/pytorch_geometric/tree/master/torch_geometric/nn/models,0,representation-learning,
Deep Graph Library (DGL),https://www.dgl.ai/,0,representation-learning,
DeepChem,https://deepchem.io/,0,general-tools,
RDKit,https://www.rdkit.org/,0,general-tools,['C++']
DeePMD-kit,https://github.com/deepmodeling/deepmd-kit,11,mlp,['C++']
Matminer,https://hackingmaterials.github.io/matminer/,0,general-tools,
SchNetPack,https://github.com/atomistic-machine-learning/schnetpack,6,representation-learning,
DScribe,https://github.com/SINGROUP/dscribe,12,representations,
QUIP,https://libatoms.github.io/,0,general-tools,
e3nn,https://e3nn.org/,0,representation-learning,
dgl-lifesci,https://github.com/awslabs/dgl-lifesci,0,representation-learning,
JAX-MD,https://github.com/jax-md/jax-md,0,md,
MEGNet,https://github.com/materialsvirtuallab/megnet,5,mlp,
DP-GEN,https://github.com/deepmodeling/dpgen,0,mlp,['workflows']
dpdata,https://github.com/deepmodeling/dpdata,5,data-structures,
NVIDIA Deep Learning Examples for Tensor Cores,https://github.com/NVIDIA/DeepLearningExamples,8,educational,['drug-discovery']
TorchANI,https://github.com/aiqm/torchani,8,mlp,
MAML,https://materialsvirtuallab.github.io/maml/,0,general-tools,
JARVIS-Tools,https://github.com/usnistgov/jarvis,7,general-tools,
ocp,https://github.com/Open-Catalyst-Project/ocp,0,representation-learning,
FitSNAP,https://github.com/FitSNAP/FitSNAP,0,mlp,
FLARE,https://github.com/mir-group/flare,4,general-tools,
XenonPy,https://github.com/yoshida-lab/XenonPy,6,general-tools,
Chemiscope,https://chemiscope.org/,0,visualization,['JavaScript']
MAST-ML,https://github.com/uw-cmg/MAST-ML,8,general-tools,
QML,http://www.qmlcode.org/,0,general-tools,
sGDML,https://github.com/stefanch/sGDML,3,mlp,
CatLearn,https://github.com/SUNCAT-Center/CatLearn,6,representation-engineering,['surface-science']
benchmarking-gnns,https://github.com/graphdeeplearning/benchmarking-gnns,0,representation-learning,"['single-paper', 'benchmarking']"
Librascal,https://github.com/lab-cosmo/librascal,5,representations,
KLIFF,https://github.com/openkim/kliff,5,mlp,"['probabilistic', 'workflows']"
n2p2,https://github.com/CompPhysVienna/n2p2,3,mlp,['C++']
SISSO,https://github.com/rouyang2017/SISSO,5,representations,['Fortran']
Automatminer,https://hackingmaterials.lbl.gov/automatminer/,0,general-tools,
PyXtalFF,https://github.com/MaterSim/PyXtal_FF,3,mlp,
Crystal Graph Convolutional Neural Networks (CGCNN),https://github.com/txie-93/cgcnn,4,representation-learning,
OpenChem,https://github.com/Mariewelt/OpenChem,2,general-tools,
ReLeaSE,https://github.com/isayev/ReLeaSE,4,reinforcement-learning,['drug-discovery']
DeepLearningLifeSciences,https://github.com/deepchem/DeepLearningLifeSciences,2,educational,
ANI-1,https://github.com/isayev/ASE_ANI,5,mlp,
Neural fingerprint (nfp),https://github.com/NREL/nfp,2,representation-learning,
AMPtorch,https://github.com/ulissigroup/amptorch,2,general-tools,
SIMPLE-NN,https://github.com/MDIL-SNU/SIMPLE-NN,4,mlp,
GDC,https://github.com/gasteigerjo/gdc,0,representation-learning,['generative']
ASAP,https://github.com/BingqingCheng/ASAP,0,unsupervised,
flare++,https://github.com/mir-group/flare_pp,0,general-tools,"['C++', 'active-learning']"
cmlkit,https://marcel.science/repbench/,0,representation-engineering,['benchmarking']
NeuralXC,https://github.com/semodi/neuralxc,2,ml-dft,
OpenKIM,https://openkim.org/,6,mlp,['knowledgebase']
molecularGNN_smiles,https://github.com/masashitsubaki/molecularGNN_smiles,2,representation-learning,
SchNet,https://github.com/atomistic-machine-learning/SchNet,3,mlp,
PiNN,https://github.com/Teoroo-CMC/PiNN,0,mlp,
BenchML,https://github.com/capoe/benchml,0,representation-engineering,['benchmarking']
DimeNet,https://www.cs.cit.tum.de/daml/dimenet/,0,mlp,
ANI-1 Dataset,https://github.com/isayev/ANI1_dataset,3,datasets,
MoleculeNet Leaderboard,https://github.com/deepchem/moleculenet,0,datasets,['benchmarking']
ACE.jl,https://github.com/ACEsuit/ACE.jl,0,mlp,['Julia']
Sketchmap,https://github.com/lab-cosmo/sketchmap,4,unsupervised,
SNAP,https://github.com/materialsvirtuallab/snap,3,mlp,
RDKit Tutorials,https://github.com/rdkit/rdkit-tutorials,3,educational,
G-SchNet,https://github.com/atomistic-machine-learning/G-SchNet,0,generative,
DTNN,https://github.com/atomistic-machine-learning/dtnn,3,representation-learning,
AIMNet,https://github.com/aiqm/aimnet,1,mlp,['single-paper']
PhysNet,https://github.com/MMunibas/PhysNet,1,mlp,['electrostatics']
uncertainty_benchmarking,https://github.com/ulissigroup/uncertainty_benchmarking,0,general-tools,"['benchmarking', 'probabilistic']"
torchchem,https://github.com/deepchem/torchchem,0,general-tools,
SA-GPR,https://github.com/dilkins/TENSOAP,0,representation-engineering,['C']
SALTED,https://github.com/andreagrisafi/SALTED,0,ml-dft,
BestPractices,https://github.com/anthony-wang/BestPractices,0,educational,
ANI-1x Datasets,https://github.com/aiqm/ANI1x_datasets,0,datasets,
COMP6 Benchmark dataset,https://github.com/isayev/COMP6,2,datasets,
CBFV,https://github.com/Kaaiian/CBFV,0,representations,
testing-framework,https://github.com/libAtoms/testing-framework,0,mlp,['benchmarking']
fplib,https://github.com/zhuligs/fplib,3,representations,"['C', 'single-paper']"
SOAPxx,https://github.com/capoe/soapxx,3,representations,['C++']
COSMO Toolbox,https://github.com/lab-cosmo/toolbox,3,math,
SchNOrb,https://github.com/atomistic-machine-learning/SchNOrb,0,ml-wft,
milad,https://github.com/muhrin/milad,0,generative,
CatGym,https://github.com/ulissigroup/catgym,0,reinforcement-learning,
COSMO tools,https://github.com/lab-cosmo/cosmo-tools,1,others,
linear-regression-benchmarks,https://github.com/BingqingCheng/linear-regression-benchmarks,0,datasets,"['benchmarking', 'single-paper']"
ML-in-chemistry-101,https://github.com/BingqingCheng/ML-in-chemistry-101,0,educational,
PANNA,https://gitlab.com/PANNAdevs/panna,0,mlp,['benchmarking']
Coarse-Graining-Auto-encoders,https://github.com/learningmatter-mit/Coarse-Graining-Auto-encoders,0,unsupervised,['single-paper']
SingleNN,https://github.com/lmj1029123/SingleNN,0,mlp,['C++']
PiNN Lab,https://github.com/Teoroo-CMC/PiNN_lab,0,educational,
gprep,https://gitlab.com/jmargraf/gprep,0,ml-dft,['single-paper']
Deep Graph Library (DGL),https://github.com/dmlc/dgl,14,representation-learning,
DeepChem,https://github.com/deepchem/deepchem,20,general-tools,
