name,homepage,projectrank,category,labels
PyG Models,https://github.com/pyg-team/pytorch_geometric/tree/master/torch_geometric/nn/models,0,representation-learning,
Deep Graph Library (DGL),https://www.dgl.ai/,0,representation-learning,
DeepChem,https://deepchem.io/,0,general-tools,
RDKit,https://www.rdkit.org/,0,general-tools,['C++']
DeePMD-kit,https://github.com/deepmodeling/deepmd-kit,27,mlp,['C++']
Matminer,https://hackingmaterials.github.io/matminer/,0,general-tools,
SchNetPack,https://github.com/atomistic-machine-learning/schnetpack,24,representation-learning,
DScribe,https://github.com/SINGROUP/dscribe,24,representations,
QUIP,https://libatoms.github.io/,0,general-tools,
paper-qa,https://github.com/whitead/paper-qa,0,nlp,
e3nn,https://e3nn.org/,0,representation-learning,
dgl-lifesci,https://github.com/awslabs/dgl-lifesci,22,representation-learning,
JAX-MD,https://github.com/jax-md/jax-md,21,md,
MEGNet,https://github.com/materialsvirtuallab/megnet,21,mlp,
DP-GEN,https://github.com/deepmodeling/dpgen,21,mlp,['workflows']
dpdata,https://github.com/deepmodeling/dpdata,21,data-structures,
kgcnn,https://github.com/aimat-lab/gcnn_keras,21,representation-learning,
NVIDIA Deep Learning Examples for Tensor Cores,https://github.com/NVIDIA/DeepLearningExamples,20,educational,['drug-discovery']
TorchANI,https://github.com/aiqm/torchani,20,mlp,
MAML,https://materialsvirtuallab.github.io/maml/,0,general-tools,
NequIP,https://github.com/mir-group/nequip,19,mlp,
JARVIS-Tools,https://github.com/usnistgov/jarvis,19,general-tools,
ocp,https://github.com/Open-Catalyst-Project/ocp,18,representation-learning,
exmol,https://github.com/ur-whitelab/exmol,17,xai,
FitSNAP,https://github.com/FitSNAP/FitSNAP,18,mlp,
FLARE,https://github.com/mir-group/flare,17,general-tools,
e3nn-jax,https://github.com/e3nn/e3nn-jax,16,representation-learning,
MatGL (Materials Graph Library),https://github.com/materialsvirtuallab/matgl,0,representation-learning,
Scikit-Matter,https://github.com/scikit-learn-contrib/scikit-matter,17,general-tools,['scikit-learn']
MALA,https://github.com/mala-project/mala,17,ml-dft,
M3GNet,https://github.com/materialsvirtuallab/m3gnet,15,mlp,
XenonPy,https://github.com/yoshida-lab/XenonPy,16,general-tools,
Chemiscope,https://chemiscope.org/,0,visualization,['JavaScript']
MAST-ML,https://github.com/uw-cmg/MAST-ML,16,general-tools,
DADApy,https://github.com/sissa-data-science/DADApy,16,unsupervised,
Uni-Fold,https://github.com/dptech-corp/Uni-Fold,0,biomolecules,
QML,http://www.qmlcode.org/,0,general-tools,
ALIGNN,https://github.com/usnistgov/alignn,15,representation-learning,
sGDML,https://github.com/stefanch/sGDML,15,mlp,
CatLearn,https://github.com/SUNCAT-Center/CatLearn,15,representation-engineering,['surface-science']
benchmarking-gnns,https://github.com/graphdeeplearning/benchmarking-gnns,14,representation-learning,"['single-paper', 'benchmarking']"
Uni-Mol,https://github.com/dptech-corp/Uni-Mol,0,representation-learning,['pretrained']
MoLeR,https://github.com/microsoft/molecule-generation,13,generative,
Librascal,https://github.com/lab-cosmo/librascal,14,representations,
SpheriCart,https://github.com/lab-cosmo/sphericart,0,math,
KLIFF,https://github.com/openkim/kliff,14,mlp,"['probabilistic', 'workflows']"
CCS_fit,https://github.com/Teoroo-CMC/CCS,13,mlp,
n2p2,https://github.com/CompPhysVienna/n2p2,13,mlp,['C++']
DeepH-pack,https://github.com/mzjb/DeepH-pack,0,ml-dft,['Julia']
gpax,https://github.com/ziatdinovmax/gpax,12,math,"['probabilistic', 'active-learning']"
JARVIS-Leaderboard,https://pages.nist.gov/jarvis_leaderboard/,0,datasets,['benchmarking']
SISSO,https://github.com/rouyang2017/SISSO,12,representations,['Fortran']
MACE,https://github.com/ACEsuit/mace,0,mlp,
Automatminer,https://hackingmaterials.lbl.gov/automatminer/,0,general-tools,
PyXtalFF,https://github.com/MaterSim/PyXtal_FF,12,mlp,
Ultra-Fast Force Fields (UF3),https://github.com/uf3/uf3,11,mlp,
Equistore,https://github.com/lab-cosmo/equistore,11,data-structures,
aviary,https://github.com/CompRhys/aviary,11,materials-discovery,
Polynomials4ML.jl,https://github.com/ACEsuit/Polynomials4ML.jl,0,math,['Julia']
Crystal Graph Convolutional Neural Networks (CGCNN),https://github.com/txie-93/cgcnn,11,representation-learning,
DMFF,https://github.com/deepmodeling/DMFF,11,mlp,
SchNetPack G-SchNet,https://github.com/atomistic-machine-learning/schnetpack-gschnet,11,generative,
Compositionally-Restricted Attention-Based Network (CrabNet),https://github.com/sparks-baird/CrabNet,11,representation-learning,
OpenChem,https://github.com/Mariewelt/OpenChem,10,general-tools,
Deep Learning for Molecules and Materials Book,https://dmol.pub/,10,educational,
ReLeaSE,https://github.com/isayev/ReLeaSE,10,reinforcement-learning,['drug-discovery']
DeepLearningLifeSciences,https://github.com/deepchem/DeepLearningLifeSciences,10,educational,
ANI-1,https://github.com/isayev/ASE_ANI,10,mlp,
gptchem,https://github.com/kjappelbaum/gptchem,0,nlp,
MolSkill,https://github.com/microsoft/molskill,0,nlp,"['drug-discovery', 'recommender']"
Neural fingerprint (nfp),https://github.com/NREL/nfp,10,representation-learning,
AMPtorch,https://github.com/ulissigroup/amptorch,10,general-tools,
SIMPLE-NN,https://github.com/MDIL-SNU/SIMPLE-NN,10,mlp,
synspace,https://github.com/whitead/synspace,0,generative,
GDC,https://github.com/gasteigerjo/gdc,9,representation-learning,['generative']
Neural Force Field,https://github.com/learningmatter-mit/NeuralForceField,9,mlp,['pretrained']
ASAP,https://github.com/BingqingCheng/ASAP,9,unsupervised,
nlcc,https://github.com/whitead/nlcc,9,nlp,['single-paper']
Pacemaker,https://cortner.github.io/ACEweb,0,mlp,
jarvis-tools-notebooks,https://github.com/JARVIS-Materials-Design/jarvis-tools-notebooks,9,educational,
flare++,https://github.com/mir-group/flare_pp,9,general-tools,"['C++', 'active-learning']"
cmlkit,https://marcel.science/repbench/,0,representation-engineering,['benchmarking']
NeuralXC,https://github.com/semodi/neuralxc,9,ml-dft,
OpenKIM,https://openkim.org/,9,mlp,['knowledgebase']
Finetuna,https://github.com/ulissigroup/finetuna,9,active-learning,['active-learning']
iam-notebooks,https://github.com/ceriottm/iam-notebooks,9,educational,
Rascaline,https://github.com/Luthaf/rascaline,9,representations,
NNsforMD,https://github.com/aimat-lab/NNsForMD,9,mlp,
molecularGNN_smiles,https://github.com/masashitsubaki/molecularGNN_smiles,8,representation-learning,
Allegro,https://github.com/mir-group/allegro,8,mlp,
SchNet,https://github.com/atomistic-machine-learning/SchNet,8,mlp,
