name,homepage,projectrank,category,labels
PyG Models,https://github.com/pyg-team/pytorch_geometric/tree/master/torch_geometric/nn/models,0,representation-learning,
Deep Graph Library (DGL),https://www.dgl.ai/,0,representation-learning,
DeepChem,https://deepchem.io/,0,general-tools,
RDKit,https://www.rdkit.org/,0,general-tools,['C++']
DeePMD-kit,https://github.com/deepmodeling/deepmd-kit,22,mlp,['C++']
Matminer,https://hackingmaterials.github.io/matminer/,0,general-tools,
SchNetPack,https://github.com/atomistic-machine-learning/schnetpack,18,representation-learning,
DScribe,https://github.com/SINGROUP/dscribe,20,representations,
QUIP,https://libatoms.github.io/,0,general-tools,
e3nn,https://e3nn.org/,0,representation-learning,
dgl-lifesci,https://github.com/awslabs/dgl-lifesci,14,representation-learning,
JAX-MD,https://github.com/jax-md/jax-md,14,md,
MEGNet,https://github.com/materialsvirtuallab/megnet,16,mlp,
DP-GEN,https://github.com/deepmodeling/dpgen,14,mlp,['workflows']
dpdata,https://github.com/deepmodeling/dpdata,16,data-structures,
kgcnn,https://github.com/aimat-lab/gcnn_keras,10,representation-learning,
NVIDIA Deep Learning Examples for Tensor Cores,https://github.com/NVIDIA/DeepLearningExamples,16,educational,['drug-discovery']
TorchANI,https://github.com/aiqm/torchani,16,mlp,
MAML,https://materialsvirtuallab.github.io/maml/,0,general-tools,
NequIP,https://github.com/mir-group/nequip,9,mlp,
JARVIS-Tools,https://github.com/usnistgov/jarvis,15,general-tools,
ocp,https://github.com/Open-Catalyst-Project/ocp,12,representation-learning,
exmol,https://github.com/ur-whitelab/exmol,0,xai,
FitSNAP,https://github.com/FitSNAP/FitSNAP,12,mlp,
FLARE,https://github.com/mir-group/flare,13,general-tools,
e3nn-jax,https://github.com/e3nn/e3nn-jax,0,representation-learning,
Scikit-Matter,https://github.com/scikit-learn-contrib/scikit-matter,8,general-tools,['scikit-learn']
MALA,https://github.com/mala-project/mala,8,ml-dft,
M3GNet,https://github.com/materialsvirtuallab/m3gnet,0,mlp,
XenonPy,https://github.com/yoshida-lab/XenonPy,13,general-tools,
Chemiscope,https://chemiscope.org/,0,visualization,['JavaScript']
MAST-ML,https://github.com/uw-cmg/MAST-ML,13,general-tools,
DADApy,https://github.com/sissa-data-science/DADApy,8,unsupervised,
QML,http://www.qmlcode.org/,0,general-tools,
ALIGNN,https://github.com/usnistgov/alignn,7,representation-learning,
sGDML,https://github.com/stefanch/sGDML,11,mlp,
CatLearn,https://github.com/SUNCAT-Center/CatLearn,12,representation-engineering,['surface-science']
benchmarking-gnns,https://github.com/graphdeeplearning/benchmarking-gnns,9,representation-learning,"['single-paper', 'benchmarking']"
MoLeR,https://github.com/microsoft/molecule-generation,0,generative,
Librascal,https://github.com/lab-cosmo/librascal,11,representations,
KLIFF,https://github.com/openkim/kliff,11,mlp,"['probabilistic', 'workflows']"
CCS_fit,https://github.com/Teoroo-CMC/CCS,0,mlp,
n2p2,https://github.com/CompPhysVienna/n2p2,10,mlp,['C++']
gpax,https://github.com/ziatdinovmax/gpax,0,math,"['probabilistic', 'active-learning']"
SISSO,https://github.com/rouyang2017/SISSO,10,representations,['Fortran']
Automatminer,https://hackingmaterials.lbl.gov/automatminer/,0,general-tools,
PyXtalFF,https://github.com/MaterSim/PyXtal_FF,9,mlp,
Ultra-Fast Force Fields (UF3),https://github.com/uf3/uf3,0,mlp,
Equistore,https://github.com/lab-cosmo/equistore,0,data-structures,
aviary,https://github.com/CompRhys/aviary,0,materials-discovery,
Crystal Graph Convolutional Neural Networks (CGCNN),https://github.com/txie-93/cgcnn,9,representation-learning,
DMFF,https://github.com/deepmodeling/DMFF,0,mlp,
SchNetPack G-SchNet,https://github.com/atomistic-machine-learning/schnetpack-gschnet,0,generative,
Compositionally-Restricted Attention-Based Network (CrabNet),https://github.com/sparks-baird/CrabNet,0,representation-learning,
OpenChem,https://github.com/Mariewelt/OpenChem,8,general-tools,
Deep Learning for Molecules and Materials Book,https://dmol.pub/,5,educational,
ReLeaSE,https://github.com/isayev/ReLeaSE,8,reinforcement-learning,['drug-discovery']
DeepLearningLifeSciences,https://github.com/deepchem/DeepLearningLifeSciences,8,educational,
ANI-1,https://github.com/isayev/ASE_ANI,9,mlp,
Neural fingerprint (nfp),https://github.com/NREL/nfp,8,representation-learning,
AMPtorch,https://github.com/ulissigroup/amptorch,8,general-tools,
SIMPLE-NN,https://github.com/MDIL-SNU/SIMPLE-NN,8,mlp,
GDC,https://github.com/gasteigerjo/gdc,6,representation-learning,['generative']
Neural Force Field,https://github.com/learningmatter-mit/NeuralForceField,4,mlp,['pretrained']
ASAP,https://github.com/BingqingCheng/ASAP,6,unsupervised,
nlcc,https://github.com/whitead/nlcc,0,nlp,['single-paper']
Pacemaker,https://cortner.github.io/ACEweb,0,mlp,
jarvis-tools-notebooks,https://github.com/JARVIS-Materials-Design/jarvis-tools-notebooks,4,educational,
flare++,https://github.com/mir-group/flare_pp,6,general-tools,"['C++', 'active-learning']"
cmlkit,https://marcel.science/repbench/,0,representation-engineering,['benchmarking']
NeuralXC,https://github.com/semodi/neuralxc,7,ml-dft,
OpenKIM,https://openkim.org/,8,mlp,['knowledgebase']
Finetuna,https://github.com/ulissigroup/finetuna,4,active-learning,['active-learning']
iam-notebooks,https://github.com/ceriottm/iam-notebooks,4,educational,
Rascaline,https://github.com/Luthaf/rascaline,4,representations,
NNsforMD,https://github.com/aimat-lab/NNsForMD,4,mlp,
molecularGNN_smiles,https://github.com/masashitsubaki/molecularGNN_smiles,6,representation-learning,
Allegro,https://github.com/mir-group/allegro,0,mlp,
SchNet,https://github.com/atomistic-machine-learning/SchNet,7,mlp,
QDF for molecule,https://github.com/masashitsubaki/QuantumDeepField_molecule,4,ml-esm,
DeePKS-kit,https://github.com/deepmodeling/deepks-kit,4,ml-dft,
PiNN,https://github.com/Teoroo-CMC/PiNN,5,mlp,
GATGNN: Global Attention Graph Neural Network,https://github.com/superlouis/GATGNN,4,representation-learning,
GAP,https://libatoms.github.io/,4,mlp,
ACE1.jl,https://acesuit.github.io/,0,mlp,['Julia']
BenchML,https://github.com/capoe/benchml,5,representation-engineering,['benchmarking']
DimeNet,https://www.cs.cit.tum.de/daml/dimenet/,0,mlp,
ANI-1 Dataset,https://github.com/isayev/ANI1_dataset,6,datasets,
MoleculeNet Leaderboard,https://github.com/deepchem/moleculenet,5,datasets,['benchmarking']
ACE.jl,https://github.com/ACEsuit/ACE.jl,5,mlp,['Julia']
cG-SchNet,https://github.com/atomistic-machine-learning/cG-SchNet,0,generative,
